sample_id,attack_type,detector_type,iteration,structural_score,behavioral_score,combined_score,detector_score,detector_decision,is_detected,attack_successful,utility_preservation,perturbation_magnitude,latency_ms
test_basic_suspicious_0,random_perturbation,structural_only,0,1.0,0.022,0.95,1.0,REJECTED,1,0,1.0,0.0,1.716
test_basic_suspicious_0,random_perturbation,structural_only,1,1.0,0.022,0.95,1.0,REJECTED,1,0,1.0,0.0075,2.008
test_basic_suspicious_0,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7179,0.0153,1.968
test_basic_suspicious_0,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.646,0.0233,1.909
test_basic_suspicious_0,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.5979,0.0306,2.03
test_basic_suspicious_0,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.5693,0.0383,1.989
test_basic_suspicious_1,random_perturbation,structural_only,0,1.0,0.022,0.95,1.0,REJECTED,1,0,1.0,0.0,1.877
test_basic_suspicious_1,random_perturbation,structural_only,1,1.0,0.022,0.95,1.0,REJECTED,1,0,0.855,0.0078,1.972
test_basic_suspicious_1,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.723,0.0155,1.992
test_basic_suspicious_1,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6535,0.0231,1.991
test_basic_suspicious_1,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6304,0.0306,1.978
test_basic_suspicious_1,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.5639,0.0389,2.022
test_basic_suspicious_2,random_perturbation,structural_only,0,1.0,0.022,0.95,1.0,REJECTED,1,0,1.0,0.0,1.916
test_basic_suspicious_2,random_perturbation,structural_only,1,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8397,0.0078,1.985
test_basic_suspicious_2,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7082,0.0154,1.945
test_basic_suspicious_2,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6528,0.023,1.915
test_basic_suspicious_2,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.5968,0.0309,2.01
test_basic_suspicious_2,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.5851,0.0384,1.96
test_basic_suspicious_3,random_perturbation,structural_only,0,1.0,0.022,0.95,1.0,REJECTED,1,0,1.0,0.0,1.94
test_basic_suspicious_3,random_perturbation,structural_only,1,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8465,0.0077,1.988
test_basic_suspicious_3,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7325,0.015,2.086
test_basic_suspicious_3,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6533,0.0227,1.985
test_basic_suspicious_3,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6127,0.0306,1.985
