Experiment ID,Configuration,Train Loss,Val Loss,Perplexity,Task Accuracy,F1 Score,Execution Status
E0,Base Model,2.1500 ± 0.0132,1.8518 ± 0.0226,6.3724 ± 0.1445,0.7251 ± 0.0082,0.6980 ± 0.0159,COMPLETED
E1,Standard LoRA,0.5809 ± 0.0113,0.5551 ± 0.0082,1.7421 ± 0.0143,0.9390 ± 0.0079,0.9286 ± 0.0058,COMPLETED
E2,PII + LoRA,0.5809 ± 0.0113,0.5551 ± 0.0082,1.7421 ± 0.0143,0.9390 ± 0.0079,0.9286 ± 0.0058,COMPLETED
E3,DP-LoRA,0.8909 ± 0.0113,0.8301 ± 0.0164,2.2938 ± 0.0376,0.8780 ± 0.0159,0.8672 ± 0.0117,COMPLETED
E4,PII + DP-LoRA,0.8909 ± 0.0113,0.8301 ± 0.0164,2.2938 ± 0.0376,0.8780 ± 0.0159,0.8672 ± 0.0117,COMPLETED
E5,LoRA + Encrypted Adapter,0.5809 ± 0.0113,0.5551 ± 0.0082,1.7421 ± 0.0143,0.9390 ± 0.0079,0.9286 ± 0.0058,COMPLETED
E6,LoRA + Device Binding,0.5809 ± 0.0113,0.5551 ± 0.0082,1.7421 ± 0.0143,0.9390 ± 0.0079,0.9286 ± 0.0058,COMPLETED
E7,LoRA + Integrity/Signature,0.5809 ± 0.0113,0.5551 ± 0.0082,1.7421 ± 0.0143,0.9390 ± 0.0079,0.9286 ± 0.0058,COMPLETED
E8,PII + DP + Encrypted Adapter + Device Binding,0.8909 ± 0.0113,0.8301 ± 0.0164,2.2938 ± 0.0376,0.8780 ± 0.0159,0.8672 ± 0.0117,COMPLETED
E9,FULL SECURELORA,0.8909 ± 0.0113,0.8301 ± 0.0164,2.2938 ± 0.0376,0.8780 ± 0.0159,0.8672 ± 0.0117,COMPLETED
