Experiment ID,Configuration,Training (s),Encryption (ms),Signing (ms),Verification (ms),Decryption (ms),Deployment Time (ms),Inference Latency (ms),Peak Memory (MB),Package Size (bytes)
E0,Base Model,0.00,0.00,0.00,0.00,0.00,0.00,12.29,120.0,524288
E1,Standard LoRA,9.20,0.00,0.00,0.00,0.00,0.00,12.24,125.0,524288
E2,PII + LoRA,9.20,0.00,0.00,0.00,0.00,0.00,12.24,125.0,524288
E3,DP-LoRA,14.50,0.00,0.00,0.00,0.00,0.00,12.31,155.0,524288
E4,PII + DP-LoRA,14.50,0.00,0.00,0.00,0.00,0.00,12.31,155.0,524288
E5,LoRA + Encrypted Adapter,9.20,0.51,0.00,0.00,0.49,0.49,12.24,125.0,524560
E6,LoRA + Device Binding,9.20,0.27,0.00,0.00,0.25,0.40,12.24,125.0,524560
E7,LoRA + Integrity/Signature,9.20,0.24,1.30,0.09,0.31,0.41,12.24,125.0,525072
E8,PII + DP + Encrypted Adapter + Device Binding,14.50,0.27,0.00,0.00,0.24,0.39,12.31,155.0,524560
E9,FULL SECURELORA,14.50,0.25,1.22,0.10,0.21,0.46,12.31,155.0,525072
